"name","type","address","url","rooms","seats","beds","capacity","self_park_rate","valet_rate","occupancy","turnover","valet_conv","op_days","peak_mod","valet_operator","garage_operator","management","ownership_group","gm","email","phone","location_notes","sourcing_notes"
"Losanti","Restaurant","1209 Vine St, Cincinnati, OH 45202","https://www.losantirestaurant.com","","120","","","","15","","1.5","0.125","260","1.05","","","Independent","Independent","","","513-763-9484","OTR; Italian-American fine dining; highly rated; Vine St corridor","OpenTable/Yelp OTR location; seats 120 default chef-driven; independent; op_days ~260"
"1931 at Hilton Netherland Plaza","Restaurant","35 W 5th St, Cincinnati, OH 45202","https://www.hilton.com/en/hotels/cvgnphf-hilton-cincinnati-netherland-plaza/dining/","","200","","","","20","","1.75","0.1","365","1.05","","","GF Hotels & Resorts","GF Hotels & Resorts","","","513-421-9100","downtown Hilton Netherland Plaza; Art Deco bar and lounge; happy hour + jazz; hotel F&B","Hilton.com dining confirmed; hotel bar/lounge in Netherland Plaza; seats 200 default hotel bar; GF Hotels managed"
"Colette OTR","Restaurant","140 E 13th St, Cincinnati, OH 45202","https://www.coletteotr.com","","100","","","","15","","1.5","0.125","260","1.05","","","Independent (Chef Danny Combs)","Independent","","","513-381-1018","OTR; French-Italian bistro; Cincinnati.com best new 2024; intimate neighborhood spot","Cincinnati.com 2024 best new; OTR Vine/13th area; seats 100 default chef-driven; op_days ~260"
"The Aperture","Restaurant","900 E McMillan St, Cincinnati, OH 45206","https://www.theaperturecinci.com","","100","","","","15","","1.5","0.125","208","1.05","","","Independent (Chef Jordan Anthony-Brown)","Independent","","","513-221-1400","Walnut Hills Peebles Corner; Mediterranean live-fire; NYT 2024 Best New Restaurants in America; destination dining","Yelp 900 E McMillan St confirmed; Wikipedia opened Jan 2024; seats 100 default chef-driven; NYT recognition; op_days ~208 Wed-Sat"
"Sudova","Restaurant","22 W Court St, Cincinnati, OH 45202","https://sudovaoncourt.com","","100","","","","15","","1.5","0.125","260","1.0","","","Independent (Sarah Dworak)","Independent","","","513-407-7974","downtown Court Street Plaza district; Eastern European fine dining; WCPO top 2024 new restaurant","sudovaoncourt.com address confirmed; seats 100 default chef-driven independent; op_days ~260 Tue-Sat"
"Court Street Kitchen","Restaurant","7 E Court St, Cincinnati, OH 45202","https://www.courtstreetkitchen.com","","150","","","","15","","1.75","0.1","312","1.0","","","Independent","Independent","","","513-721-5900","downtown Court Street Plaza; New American upscale; lunch + dinner + Sunday brunch; WCPO top 2024","Yelp 7 E Court St confirmed; courtstreetkitchen.com; seats 150 default upscale-casual; independent"
"Alara Cincinnati","Restaurant","5410 Medpace Way, Cincinnati, OH 45227","https://www.alaracincinnati.com","","150","","","","15","","1.5","0.125","260","1.0","","","Looking Glass Hospitality","Looking Glass Hospitality","","","513-813-3100","Madisonville Madison Square development; contemporary American fine dining; Cincinnati Magazine best 2024","alaracincinnati.com address confirmed; seats 150 default; Looking Glass Hospitality management confirmed per Alara site; op_days ~260"
"Abigail Street","Restaurant","1214 Vine St, Cincinnati, OH 45202","https://www.abigailstreetcincinnati.com","","150","","","","15","","1.75","0.1","260","1.05","","","Independent","Independent","","","513-246-4100","OTR Vine Street corridor; Mediterranean wine bar + tapas; popular date night; Findlay Market area","Zest Cincy 1214 Vine St confirmed; seats 150 default upscale-casual; independent; op_days ~260"
"Mash + Oak (Cincinnati Marriott RiverCenter)","Restaurant","10 W RiverCenter Blvd, Covington, KY 41011","https://www.marriott.com/en-us/hotels/cvgdr-cincinnati-marriott-at-rivercenter/overview/","","200","","","","20","","1.75","0.1","365","1.05","","","Marriott International","Marriott International","","","859-261-2900","Covington riverfront; Marriott RiverCenter hotel restaurant + bourbon lounge; conference hotel F&B","Marriott.com Mash + Oak confirmed; hotel restaurant; seats 200 default; convention hotel"
"Emery","Restaurant","6914 Wooster Pike, Cincinnati, OH 45227","https://www.emerymariemont.com","","150","","","","15","","1.5","0.125","260","1.0","","","Independent","Independent","","","513-271-5350","Mariemont suburb; seasonal American seafood; top-rated OpenTable fine dining metro area","emerymariemont.com address confirmed; seats 150 default; independent; op_days ~260 closed Mon-Tue"
"The Quarter Bistro","Restaurant","4801 Whetsel Ave, Cincinnati, OH 45227","https://www.thequarterbistro.com","","150","","","","15","","1.5","0.125","260","1.0","","","Independent","Independent","","","513-271-5400","Mariemont suburb east; Contemporary American; top-rated OpenTable fine dining in metro area","OpenTable top-ranked fine dining Cincinnati metro; Mariemont address; seats 150 default; independent"
"Baru","Restaurant","617 Main St, Cincinnati, OH 45202","https://www.barucincinnati.com","","120","","","","15","","1.5","0.1","260","1.05","","","Independent (Tyler Wogenstahl)","Independent","","","513-246-4050","downtown CBD near Court St Plaza; high-end izakaya + cocktail bar; Cincinnati Magazine 2024 best new","Cincinnati Magazine 2024 address confirmed Main St; seats 120 default; independent; op_days ~260"
"Radisson Hotel Cincinnati Riverfront","Hotel","668 W 5th St, Covington, KY 41011","https://www.choicehotels.com/kentucky/covington/radisson-hotels/ky029","236","","","","","25","0.52","","0.3","365","1.0","","","Choice Hotels International","Choice Hotels International","","","859-777-0008","Covington KY riverfront; all rooms have balconies; older full-service property; river views","Room count 236 estimated from standard Radisson full-service scale; Choice Hotels confirmed address; valet_rate default"
"Mercy Health Mercy Hospital Fairfield","Hospital","3000 Mack Rd, Fairfield, OH 45014","https://www.mercy.com/health-care/hospitals/mercy-hospital-fairfield","","","279","","","5","","","","365","1.0","","","Trinity Health / Mercy Health","Mercy Health / Trinity Health","","","513-870-7000","northern suburb Fairfield; inner-ring suburban hospital; 279 beds; Mercy Health system","Mercy Health website confirmed; beds approx 279 Mercy Fairfield standard; address confirmed"
